id,codinfra,comuna,bus_stop_code,nombre_par,n_servicios,servicios,coordinates
1909,L-34-54-115-SN,PUENTE ALTO,PF1008,Avenida M�xico / esq. Cerro Sn.Crist�bal,2,210v;F05,"[-70.558464, -33.595307]"
1902,L-34-54-90-NS,PUENTE ALTO,PF332,Avenida M�xico / esq. San Hugo,5,210v;F06;F09;124;F14,"[-70.561709, -33.590373]"
1912,L-34-54-85-SN,PUENTE ALTO,PF344,Avenida M�xico / esq. San Hugo,6,210v;F05;F06;F09;124;F14,"[-70.561351, -33.590562]"
432,L-34-66-25-NS,PUENTE ALTO,PF880,Av. Paseo Pie Andino / esq. Cerro Providencia,11,204;210v;204N;F11;F29;F02;F05;F06;F20;102;F09,"[-70.555824, -33.602302]"
431,T-34-444-PO-5,PUENTE ALTO,PF50,Domingo Tocornal / esq. Avenida M�xico,8,204;204N;F29;F02;F05;F06;F20;F09,"[-70.557096, -33.600872]"
435,L-34-66-26-SN,PUENTE ALTO,PF1105,Av. Paseo Pie Andino / esq. Domingo Tocornal,4,204;210v;204N;102,"[-70.556402, -33.601103]"
1907,L-34-54-125-NS,PUENTE ALTO,PF928,Avenida M�xico / esq. Domingo Tocornal,6,210v;F29;F05;F06;F20;102,"[-70.556468, -33.600528]"
433,L-34-66-20-NS,PUENTE ALTO,PF879,Av. Paseo Pie Andino / esq. Av. Eduardo Cordero,11,204;210v;204N;F11;F29;F02;F05;F06;F20;102;F09,"[-70.554895, -33.603443]"
434,L-34-66-21-SN,PUENTE ALTO,PF1106,Av. Paseo Pie Andino / esq. Cerro Pochoco,4,204;210v;204N;102,"[-70.55508, -33.603018]"
1906,L-34-54-120-NS,PUENTE ALTO,PF927,Avenida M�xico / esq. Caleta Brava,6,210v;F29;F05;F06;F20;102,"[-70.557012, -33.598128]"
1908,T-34-443-SN-5,PUENTE ALTO,PF16,Avenida M�xico / esq. Caleta Brava,6,210v;F29;F05;F06;F20;102,"[-70.556497, -33.599137]"
10634,L-34-70-110-PO,PUENTE ALTO,PF958,Parada  / CESFAM @ Sn. Alberto Hurtado,3,F20;102;F26,"[-70.556525, -33.596492]"
10633,L-34-70-105-OP,PUENTE ALTO,PF957,Parada  / CESFAM @ Sn. Alberto Hurtado,3,F20;102;F26,"[-70.556431, -33.596285]"
10720,L-34-120-20-SN,PUENTE ALTO,PF1017,Cardenal C. Oviedo / esq. Av. San Carlos,1,F26,"[-70.552001, -33.59593]"
10719,L-34-120-10-SN,PUENTE ALTO,PF1148,Cardenal C. Oviedo / esq. Pasaje 4 Oriente,1,F26,"[-70.54955, -33.598312]"
10711,L-34-120-10-NS,PUENTE ALTO,PF1016,Cardenal C. Oviedo / esq. Los Espa�oles,1,F26,"[-70.549964, -33.597479]"
10629,L-34-49-84-SN,PUENTE ALTO,PF976,Las Nieves Oriente / esq. Aries,2,F20;F07,"[-70.557084, -33.592285]"
10592,L-34-49-87-NS,PUENTE ALTO,PF973,Las Nieves Oriente / esq. Paranal,3,F05;F20;F07,"[-70.557069, -33.592173]"
10635,L-34-66-40-SN,PUENTE ALTO,PF955,Av. Paseo Pie Andino / esq. Cerro Paranal,1,F20,"[-70.554541, -33.594732]"
10632,L-34-66-45-NS,PUENTE ALTO,PF954,Av. Paseo Pie Andino / esq. Cerro Paranal,1,F20,"[-70.554469, -33.594474]"
10591,L-34-49-85-NS,PUENTE ALTO,PF972,Las Nieves Oriente / esq. Aries,3,F05;F20;F07,"[-70.556205, -33.590344]"
10630,L-34-49-82-SN,PUENTE ALTO,PF975,Las Nieves Oriente / esq. Aries,2,F20;F07,"[-70.556121, -33.590288]"
10637,L-34-71-73-OP,PUENTE ALTO,PF1042,Troncal Sn. Francisco / esq. Las Nieves Ote.,1,F20,"[-70.556326, -33.5894]"
10590,L-34-49-84-NS,PUENTE ALTO,PF866,Las Nieves Oriente / esq. Troncal Sn.Francisco,2,F05;F07,"[-70.556742, -33.588603]"
10594,L-34-5-6-PO,PUENTE ALTO,PF614,Angel Pimentel / esq. Las Nieves-Oriente,2,F05;F14,"[-70.557097, -33.587308]"
10957,L-34-49-80-SN,PUENTE ALTO,PF868,Las Nieves Oriente / esq. Parque Cordillera,1,F07,"[-70.556634, -33.588517]"
10636,L-34-66-50-SN,PUENTE ALTO,PF956,Av. Paseo Pie Andino / esq. Troncal Sn.Francisco,1,F20,"[-70.553147, -33.592571]"
10631,L-34-71-75-PO,PUENTE ALTO,PF959,Troncal Sn. Francisco / esq. Paseo Pie Andino,1,F20,"[-70.553389, -33.59225]"
