line_id,station_id,name,status_code,status_description,date,Hora_minuto
L5,vicente-valdes,Vicente Valdés,0,Estación Operativa,2025-10-12 17:07:54.225344,17:07
L6,cerrillos,Cerrillos,0,Estación Operativa,2025-10-12 17:07:54.225347,17:07
L6,lo-valledor,Lo Valledor,0,Estación Operativa,2025-10-12 17:07:54.225347,17:07
L6,pdte-pedro-aguirre-cerda,Pdte. Pedro Aguirre Cerda,0,Estación Operativa,2025-10-12 17:07:54.225348,17:07
L6,franklin,Franklin,0,Estación Operativa,2025-10-12 17:07:54.225349,17:07
L6,bio-bio,Bío Bío,0,Estación Operativa,2025-10-12 17:07:54.225350,17:07
L6,nuble,Ñuble,0,Estación Operativa,2025-10-12 17:07:54.225350,17:07
L6,estadio-nacional,Estadio Nacional,0,Estación Operativa,2025-10-12 17:07:54.225351,17:07
L6,nunoa,Ñuñoa,0,Estación Operativa,2025-10-12 17:07:54.225352,17:07
L6,ines-de-suarez,Inés de Suárez,0,Estación Operativa,2025-10-12 17:07:54.225352,17:07
L6,los-leones,Los Leones,0,Estación Operativa,2025-10-12 17:07:54.225353,17:07
L1,san-pablo,San Pablo,0,Estación Operativa,2025-10-12 18:30:03.840886,18:30
L1,neptuno,Neptuno,0,Estación Operativa,2025-10-12 18:30:03.840893,18:30
L1,pajaritos,Pajaritos,0,Estación Operativa,2025-10-12 18:30:03.840895,18:30
L1,las-rejas,Las Rejas,0,Estación Operativa,2025-10-12 18:30:03.840897,18:30
L1,ecuador,Ecuador,0,Estación Operativa,2025-10-12 18:30:03.840898,18:30
L1,san-alberto-hurtado,San Alberto Hurtado,0,Estación Operativa,2025-10-12 18:30:03.840900,18:30
L1,universidad-de-santiago,Universidad de Santiago,0,Estación Operativa,2025-10-12 18:30:03.840901,18:30
L1,estacion-central,Estación Central,0,Estación Operativa,2025-10-12 18:30:03.840902,18:30
L1,u-l-a,U.L.A.,0,Estación Operativa,2025-10-12 18:30:03.840903,18:30
L1,republica,República,0,Estación Operativa,2025-10-12 18:30:03.840904,18:30
L1,los-heroes,Los Héroes,0,Estación Operativa,2025-10-12 18:30:03.840905,18:30
L1,la-moneda,La Moneda,0,Estación Operativa,2025-10-12 18:30:03.840907,18:30
L1,universidad-de-chile,Universidad de Chile,0,Estación Operativa,2025-10-12 18:30:03.840908,18:30
L1,santa-lucia,Santa Lucía,0,Estación Operativa,2025-10-12 18:30:03.840909,18:30
L1,universidad-catolica,Universidad Católica,0,Estación Operativa,2025-10-12 18:30:03.840910,18:30
L1,baquedano,Baquedano,0,Estación Operativa,2025-10-12 18:30:03.840911,18:30
L1,salvador,Salvador,0,Estación Operativa,2025-10-12 18:30:03.840912,18:30
L1,manuel-montt,Manuel Montt,0,Estación Operativa,2025-10-12 18:30:03.840914,18:30
L1,pedro-de-valdivia,Pedro de Valdivia,0,Estación Operativa,2025-10-12 18:30:03.840920,18:30
L1,los-leones,Los Leones,0,Estación Operativa,2025-10-12 18:30:03.840921,18:30
L1,tobalaba,Tobalaba,0,Estación Operativa,2025-10-12 18:30:03.840922,18:30
L1,el-golf,El Golf,0,Estación Operativa,2025-10-12 18:30:03.840923,18:30
L1,alcantara,Alcántara,0,Estación Operativa,2025-10-12 18:30:03.840925,18:30
L1,escuela-militar,Escuela Militar,0,Estación Operativa,2025-10-12 18:30:03.840926,18:30
L1,manquehue,Manquehue,0,Estación Operativa,2025-10-12 18:30:03.840927,18:30
L1,hernando-de-magallanes,Hernando de Magallanes,0,Estación Operativa,2025-10-12 18:30:03.840928,18:30
L1,los-dominicos,Los Dominicos,0,Estación Operativa,2025-10-12 18:30:03.840929,18:30
L2,vespucio-norte,Vespucio Norte,0,Estación Operativa,2025-10-12 18:30:03.840941,18:30
L2,zapadores,Zapadores,0,Estación Operativa,2025-10-12 18:30:03.840942,18:30
L2,dorsal,Dorsal,0,Estación Operativa,2025-10-12 18:30:03.840943,18:30
L2,einstein,Einstein,0,Estación Operativa,2025-10-12 18:30:03.840944,18:30
L2,cementerios,Cementerios,0,Estación Operativa,2025-10-12 18:30:03.840945,18:30
L2,cerro-blanco,Cerro Blanco,0,Estación Operativa,2025-10-12 18:30:03.840947,18:30
L2,patronato,Patronato,0,Estación Operativa,2025-10-12 18:30:03.840948,18:30
L2,puente-cal-y-canto,Puente Cal y Canto,0,Estación Operativa,2025-10-12 18:30:03.840949,18:30
L2,santa-ana,Santa Ana,0,Estación Operativa,2025-10-12 18:30:03.840950,18:30
L2,los-heroes,Los Héroes,0,Estación Operativa,2025-10-12 18:30:03.840951,18:30
L2,toesca,Toesca,0,Estación Operativa,2025-10-12 18:30:03.840954,18:30
L2,parque-ohiggins,Parque O'Higgins,0,Estación Operativa,2025-10-12 18:30:03.840955,18:30
L2,rondizzoni,Rondizzoni,0,Estación Operativa,2025-10-12 18:30:03.840957,18:30
L2,franklin,Franklin,0,Estación Operativa,2025-10-12 18:30:03.840958,18:30
L2,el-llano,El Llano,0,Estación Operativa,2025-10-12 18:30:03.840959,18:30
L2,san-miguel,San Miguel,0,Estación Operativa,2025-10-12 18:30:03.840960,18:30
L2,lo-vial,Lo Vial,0,Estación Operativa,2025-10-12 18:30:03.840961,18:30
L2,departamental,Departamental,0,Estación Operativa,2025-10-12 18:30:03.840962,18:30
L2,ciudad-del-nino,Ciudad del Niño,0,Estación Operativa,2025-10-12 18:30:03.840963,18:30
L2,lo-ovalle,Lo Ovalle,0,Estación Operativa,2025-10-12 18:30:03.840964,18:30
L2,el-parron,El Parrón,0,Estación Operativa,2025-10-12 18:30:03.840965,18:30
L2,la-cisterna,La Cisterna,0,Estación Operativa,2025-10-12 18:30:03.840969,18:30
L2,el-bosque,El Bosque,0,Estación Operativa,2025-10-12 18:30:03.840970,18:30
L2,observatorio,Observatorio,0,Estación Operativa,2025-10-12 18:30:03.840971,18:30
L2,copa-lo-martinez,Copa Lo Martinez,0,Estación Operativa,2025-10-12 18:30:03.840972,18:30
L2,hospital-el-pino,Hospital El Pino,0,Estación Operativa,2025-10-12 18:30:03.840973,18:30
L3,plaza-quilicura,Plaza Quilicura,0,Estación Operativa,2025-10-12 18:30:03.840981,18:30
L3,lo-cruzat,Lo Cruzat,0,Estación Operativa,2025-10-12 18:30:03.840982,18:30
L3,ferrocarril,Ferrocarril,0,Estación Operativa,2025-10-12 18:30:03.840983,18:30
L3,los-libertadores,Los Libertadores,0,Estación Operativa,2025-10-12 18:30:03.840985,18:30
L3,cardenal-caro,Cardenal Caro,0,Estación Operativa,2025-10-12 18:30:03.840988,18:30
L3,vivaceta,Vivaceta,0,Estación Operativa,2025-10-12 18:30:03.840989,18:30
L3,conchali,Conchalí,0,Estación Operativa,2025-10-12 18:30:03.840990,18:30
L3,plaza-chacabuco,Plaza Chacabuco,0,Estación Operativa,2025-10-12 18:30:03.840991,18:30
L3,hospitales,Hospitales,0,Estación Operativa,2025-10-12 18:30:03.840992,18:30
L3,puente-cal-y-canto,Puente Cal y Canto,0,Estación Operativa,2025-10-12 18:30:03.840993,18:30
L3,plaza-de-armas,Plaza de Armas,0,Estación Operativa,2025-10-12 18:30:03.840994,18:30
L3,universidad-de-chile,Universidad de Chile,0,Estación Operativa,2025-10-12 18:30:03.840995,18:30
L3,parque-almagro,Parque Almagro,0,Estación Operativa,2025-10-12 18:30:03.840997,18:30
L3,matta,Matta,0,Estación Operativa,2025-10-12 18:30:03.840998,18:30
L3,irarrazaval,Irarrázaval,0,Estación Operativa,2025-10-12 18:30:03.840999,18:30
L3,monsenor-eyzaguirre,Monseñor Eyzaguirre,0,Estación Operativa,2025-10-12 18:30:03.841000,18:30
L3,nunoa,Ñuñoa,0,Estación Operativa,2025-10-12 18:30:03.841001,18:30
L3,chile-espana,Chile España,0,Estación Operativa,2025-10-12 18:30:03.841003,18:30
L3,villa-frei,Villa Frei,0,Estación Operativa,2025-10-12 18:30:03.841004,18:30
L3,plaza-egana,Plaza Egaña,0,Estación Operativa,2025-10-12 18:30:03.841005,18:30
L3,fernando-castillo-velasco,Fernando Castillo Velasco,0,Estación Operativa,2025-10-12 18:30:03.841006,18:30
L4,tobalaba,Tobalaba,0,Estación Operativa,2025-10-12 18:30:03.841011,18:30
L4,cristobal-colon,Cristóbal Colón,0,Estación Operativa,2025-10-12 18:30:03.841012,18:30
L4,francisco-bilbao,Francisco Bilbao,0,Estación Operativa,2025-10-12 18:30:03.841015,18:30
L4,principe-de-gales,Príncipe de Gales,0,Estación Operativa,2025-10-12 18:30:03.841017,18:30
L4,simon-bolivar,Simón Bolivar,0,Estación Operativa,2025-10-12 18:30:03.841018,18:30
L4,plaza-egana,Plaza Egaña,0,Estación Operativa,2025-10-12 18:30:03.841019,18:30
L4,los-orientales,Los Orientales,0,Estación Operativa,2025-10-12 18:30:03.841020,18:30
L4,grecia,Grecia,0,Estación Operativa,2025-10-12 18:30:03.841021,18:30
L4,los-presidentes,Los Presidentes,0,Estación Operativa,2025-10-12 18:30:03.841022,18:30
L4,quilin,Quilín,0,Estación Operativa,2025-10-12 18:30:03.841023,18:30
L4,las-torres,Las Torres,0,Estación Operativa,2025-10-12 18:30:03.841025,18:30
L4,macul,Macul,0,Estación Operativa,2025-10-12 18:30:03.841026,18:30
L4,vicuna-mackenna,Vicuña Mackenna,0,Estación Operativa,2025-10-12 18:30:03.841027,18:30
L4,vicente-valdes,Vicente Valdés,0,Estación Operativa,2025-10-12 18:30:03.841028,18:30
L4,rojas-magallanes,Rojas Magallanes,0,Estación Operativa,2025-10-12 18:30:03.841029,18:30
L4,trinidad,Trinidad,0,Estación Operativa,2025-10-12 18:30:03.841030,18:30
L4,san-jose-de-la-estrella,San José de la Estrella,0,Estación Operativa,2025-10-12 18:30:03.841031,18:30
L4,los-quillayes,Los Quillayes,0,Estación Operativa,2025-10-12 18:30:03.841032,18:30
L4,elisa-correa,Elisa Correa,0,Estación Operativa,2025-10-12 18:30:03.841034,18:30
L4,hospital-sotero-del-rio,Hospital Sótero del Río,0,Estación Operativa,2025-10-12 18:30:03.841035,18:30
L4,protectora-de-la-infancia,Protectora de la Infancia,0,Estación Operativa,2025-10-12 18:30:03.841036,18:30
L4,las-mercedes,Las Mercedes,0,Estación Operativa,2025-10-12 18:30:03.841037,18:30
L4,plaza-de-puente-alto,Plaza de Puente Alto,0,Estación Operativa,2025-10-12 18:30:03.841050,18:30
L4A,vicuna-mackenna,Vicuña Mackenna,0,Estación Operativa,2025-10-12 18:30:03.841055,18:30
L4A,santa-julia,Santa Julia,0,Estación Operativa,2025-10-12 18:30:03.841056,18:30
L4A,la-granja,La Granja,0,Estación Operativa,2025-10-12 18:30:03.841057,18:30
L4A,santa-rosa,Santa Rosa,0,Estación Operativa,2025-10-12 18:30:03.841058,18:30
L4A,san-ramon,San Ramón,0,Estación Operativa,2025-10-12 18:30:03.841059,18:30
L4A,la-cisterna,La Cisterna,0,Estación Operativa,2025-10-12 18:30:03.841060,18:30
L5,plaza-de-maipu,Plaza de Maipú,0,Estación Operativa,2025-10-12 18:30:03.841065,18:30
L5,santiago-bueras,Santiago Bueras,0,Estación Operativa,2025-10-12 18:30:03.841068,18:30
L5,del-sol,Del Sol,0,Estación Operativa,2025-10-12 18:30:03.841069,18:30
L5,monte-tabor,Monte Tabor,0,Estación Operativa,2025-10-12 18:30:03.841070,18:30
L5,las-parcelas,Las Parcelas,0,Estación Operativa,2025-10-12 18:30:03.841072,18:30
L5,laguna-sur,Laguna Sur,0,Estación Operativa,2025-10-12 18:30:03.841073,18:30
L5,barrancas,Barrancas,0,Estación Operativa,2025-10-12 18:30:03.841074,18:30
L5,pudahuel,Pudahuel,0,Estación Operativa,2025-10-12 18:30:03.841075,18:30
L5,san-pablo,San Pablo,0,Estación Operativa,2025-10-12 18:30:03.841076,18:30
L5,lo-prado,Lo Prado,0,Estación Operativa,2025-10-12 18:30:03.841079,18:30
L5,blanqueado,Blanqueado,0,Estación Operativa,2025-10-12 18:30:03.841080,18:30
L5,gruta-de-lourdes,Gruta de Lourdes,0,Estación Operativa,2025-10-12 18:30:03.841081,18:30
L5,quinta-normal,Quinta Normal,0,Estación Operativa,2025-10-12 18:30:03.841084,18:30
L5,cumming,Cumming,0,Estación Operativa,2025-10-12 18:30:03.841086,18:30
L5,santa-ana,Santa Ana,0,Estación Operativa,2025-10-12 18:30:03.841087,18:30
L5,plaza-de-armas,Plaza de Armas,0,Estación Operativa,2025-10-12 18:30:03.841088,18:30
L5,bellas-artes,Bellas Artes,0,Estación Operativa,2025-10-12 18:30:03.841089,18:30
L5,baquedano,Baquedano,0,Estación Operativa,2025-10-12 18:30:03.841090,18:30
L5,parque-bustamante,Parque Bustamante,0,Estación Operativa,2025-10-12 18:30:03.841091,18:30
L5,santa-isabel,Santa Isabel,0,Estación Operativa,2025-10-12 18:30:03.841092,18:30
L5,irarrazaval,Irarrázaval,0,Estación Operativa,2025-10-12 18:30:03.841093,18:30
L5,nuble,Ñuble,0,Estación Operativa,2025-10-12 18:30:03.841094,18:30
L5,rodrigo-de-araya,Rodrigo de Araya,0,Estación Operativa,2025-10-12 18:30:03.841095,18:30
L5,carlos-valdovinos,Carlos Valdovinos,0,Estación Operativa,2025-10-12 18:30:03.841097,18:30
L5,camino-agricola,Camino Agrícola,0,Estación Operativa,2025-10-12 18:30:03.841098,18:30
L5,san-joaquin,San Joaquín,0,Estación Operativa,2025-10-12 18:30:03.841099,18:30
L5,pedrero,Pedrero,0,Estación Operativa,2025-10-12 18:30:03.841100,18:30
L5,mirador,Mirador,0,Estación Operativa,2025-10-12 18:30:03.841101,18:30
L5,bellavista-de-la-florida,Bellavista de La Florida,0,Estación Operativa,2025-10-12 18:30:03.841102,18:30
L5,vicente-valdes,Vicente Valdés,0,Estación Operativa,2025-10-12 18:30:03.841103,18:30
L6,cerrillos,Cerrillos,0,Estación Operativa,2025-10-12 18:30:03.841107,18:30
L6,lo-valledor,Lo Valledor,0,Estación Operativa,2025-10-12 18:30:03.841108,18:30
L6,pdte-pedro-aguirre-cerda,Pdte. Pedro Aguirre Cerda,0,Estación Operativa,2025-10-12 18:30:03.841111,18:30
L6,franklin,Franklin,0,Estación Operativa,2025-10-12 18:30:03.841112,18:30
L6,bio-bio,Bío Bío,0,Estación Operativa,2025-10-12 18:30:03.841113,18:30
L6,nuble,Ñuble,0,Estación Operativa,2025-10-12 18:30:03.841114,18:30
L6,estadio-nacional,Estadio Nacional,0,Estación Operativa,2025-10-12 18:30:03.841115,18:30
L6,nunoa,Ñuñoa,0,Estación Operativa,2025-10-12 18:30:03.841116,18:30
L6,ines-de-suarez,Inés de Suárez,0,Estación Operativa,2025-10-12 18:30:03.841118,18:30
L6,los-leones,Los Leones,0,Estación Operativa,2025-10-12 18:30:03.841119,18:30
L1,san-pablo,San Pablo,0,Estación Operativa,2025-10-12 19:30:03.599185,19:30
L1,neptuno,Neptuno,0,Estación Operativa,2025-10-12 19:30:03.599192,19:30
L1,pajaritos,Pajaritos,0,Estación Operativa,2025-10-12 19:30:03.599194,19:30
L1,las-rejas,Las Rejas,0,Estación Operativa,2025-10-12 19:30:03.599196,19:30
